ricci_k,ricci_iter,loss,mse,trust
5,1,0.24285010862350465,0.24080972373485565,0.6404837833248429
5,2,0.2437142367362976,0.2417180836200714,0.6351496858549839
5,4,0.244783474445343,0.24292512238025665,0.6223310409237561
10,1,0.24487301158905028,0.24309374392032623,0.6311439123790117
10,2,0.2441078817844391,0.2425725907087326,0.6297918152487689
10,4,0.2447232265472412,0.2428763210773468,0.6399055866870437
20,1,0.24449503564834596,0.24293464422225952,0.6215361691288843
20,2,0.24569906234741212,0.2443222999572754,0.6273425029716421
20,4,0.24485296821594238,0.24321191012859344,0.6236286296484972
